Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: estimates
Honduras,HND,2023,72.884
Hong Kong,HKG,2023,85.511
Hungary,HUN,2023,77.024
Iceland,ISL,2023,82.691
India,IND,2023,72.003
Indonesia,IDN,2023,71.146
Iran,IRN,2023,77.654
Iraq,IRQ,2023,72.324
Ireland,IRL,2023,82.412
Isle of Man,IMN,2023,80.999
Israel,ISR,2023,82.408
Italy,ITA,2023,83.716
Jamaica,JAM,2023,71.479
Japan,JPN,2023,84.712
Jersey,JEY,2023,79.707
Jordan,JOR,2023,77.814
Kazakhstan,KAZ,2023,74.402
Kenya,KEN,2023,63.646
Kiribati,KIR,2023,66.473
Kosovo,OWID_KOS,2023,78.033
Kuwait,KWT,2023,80.405
Kyrgyzstan,KGZ,2023,71.677
Laos,LAO,2023,68.964
Latin America and the Caribbean (UN),,2023,75.692
Latvia,LVA,2023,76.19
Least developed countries,,2023,66.351
Lebanon,LBN,2023,77.817
Lesotho,LSO,2023,57.375
Less developed regions,,2023,71.728
"Less developed regions, excluding China",,2023,70.221
"Less developed regions, excluding least developed countries",,2023,72.937
Liberia,LBR,2023,62.163
Libya,LBY,2023,69.339
Liechtenstein,LIE,2023,83.63
Lithuania,LTU,2023,76.025
Low-income countries,,2023,64.938
Lower-middle-income countries,,2023,69.585
Luxembourg,LUX,2023,82.229
Macao,MAC,2023,83.075
Madagascar,MDG,2023,63.632
Malawi,MWI,2023,67.353
Malaysia,MYS,2023,76.657
Maldives,MDV,2023,81.041
Mali,MLI,2023,60.439
Malta,MLT,2023,83.299
Marshall Islands,MHL,2023,66.945
Martinique,MTQ,2023,82.565
Mauritania,MRT,2023,68.484
Mauritius,MUS,2023,74.926
Mayotte,MYT,2023,76.054
Mexico,MEX,2023,75.069
Micronesia (country),FSM,2023,67.198
Moldova,MDA,2023,71.198
Monaco,MCO,2023,86.372
Mongolia,MNG,2023,71.734
Montenegro,MNE,2023,77.087
Montserrat,MSR,2023,76.186
More developed regions,,2023,79.878
Morocco,MAR,2023,75.313
Mozambique,MOZ,2023,63.611
Myanmar,MMR,2023,66.889
Namibia,NAM,2023,67.385
Nauru,NRU,2023,62.109
Nepal,NPL,2023,70.354
Netherlands,NLD,2023,82.158
New Caledonia,NCL,2023,78.766
New Zealand,NZL,2023,82.088
Nicaragua,NIC,2023,74.947
Niger,NER,2023,61.183
Nigeria,NGA,2023,54.462
Niue,NIU,2023,69.978
North Korea,PRK,2023,73.642
North Macedonia,MKD,2023,77.395
Northern America (UN),,2023,79.642
Northern Mariana Islands,MNP,2023,78.808
Norway,NOR,2023,83.308
Oceania (UN),,2023,79.146
Oman,OMN,2023,80.031
Pakistan,PAK,2023,67.649
Palau,PLW,2023,69.269
Palestine,PSE,2023,65.17
Panama,PAN,2023,79.594
Papua New Guinea,PNG,2023,66.134
Paraguay,PRY,2023,73.844
Peru,PER,2023,77.74
Philippines,PHL,2023,69.833
Poland,POL,2023,78.633
Portugal,PRT,2023,82.36
Puerto Rico,PRI,2023,81.69
Qatar,QAT,2023,82.368
Reunion,REU,2023,83.547
Romania,ROU,2023,75.938
Russia,RUS,2023,73.154
Rwanda,RWA,2023,67.785
Saint Barthelemy,BLM,2023,84.29
Saint Helena,SHN,2023,76.787
Saint Kitts and Nevis,KNA,2023,72.145
Saint Lucia,LCA,2023,72.697
Saint Martin (French part),MAF,2023,80.224
Saint Pierre and Miquelon,SPM,2023,76.758
Saint Vincent and the Grenadines,VCT,2023,71.23
Samoa,WSM,2023,71.698
San Marino,SMR,2023,85.706
Sao Tome and Principe,STP,2023,69.718
Saudi Arabia,SAU,2023,78.732
Senegal,SEN,2023,68.683
Serbia,SRB,2023,76.769
Seychelles,SYC,2023,72.862
Sierra Leone,SLE,2023,61.786
Singapore,SGP,2023,83.736
Sint Maarten (Dutch part),SXM,2023,76.371
Slovakia,SVK,2023,78.341
Slovenia,SVN,2023,81.603
Solomon Islands,SLB,2023,70.528
Somalia,SOM,2023,58.816
South Africa,ZAF,2023,66.139
South Korea,KOR,2023,84.329
South Sudan,SSD,2023,57.617
Spain,ESP,2023,83.67
Sri Lanka,LKA,2023,77.483
Sudan,SDN,2023,66.331
Suriname,SUR,2023,73.631
Sweden,SWE,2023,83.262
Switzerland,CHE,2023,83.954
Syria,SYR,2023,72.12
Taiwan,TWN,2023,80.559
Tajikistan,TJK,2023,71.79
Tanzania,TZA,2023,66.995
Thailand,THA,2023,76.412
Togo,TGO,2023,62.739
Tokelau,TKL,2023,77.051
Tonga,TON,2023,72.895
Trinidad and Tobago,TTO,2023,73.49
Tunisia,TUN,2023,76.508
Turkey,TUR,2023,77.156
Turkmenistan,TKM,2023,70.073
Turks and Caicos Islands,TCA,2023,78.008
Tuvalu,TUV,2023,67.105
Uganda,UGA,2023,68.252
Ukraine,UKR,2023,73.422
United Arab Emirates,ARE,2023,82.909
United Kingdom,GBR,2023,81.302
United States,USA,2023,79.304
United States Virgin Islands,VIR,2023,75.472
Upper-middle-income countries,,2023,75.881
Uruguay,URY,2023,78.138
Uzbekistan,UZB,2023,72.388
Vanuatu,VUT,2023,71.477
Vatican,VAT,2023,82.985
Venezuela,VEN,2023,72.514
Vietnam,VNM,2023,74.588
Wallis and Futuna,WLF,2023,78.629
Western Sahara,ESH,2023,71.385
World,OWID_WRL,2023,73.169
Yemen,YEM,2023,69.295
Zambia,ZMB,2023,66.349
Zimbabwe,ZWE,2023,62.775
